Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,457473,250,1,NATGASMINI,NATGASMINI24JUL25C420,24-JUL-2025,OPTFUT,CE,420,0.05,
MCX,457474,250,1,NATGASMINI,NATGASMINI24JUL25P420,24-JUL-2025,OPTFUT,PE,420,0.05,
MCX,457479,250,1,NATGASMINI,NATGASMINI24JUL25C425,24-JUL-2025,OPTFUT,CE,425,0.05,
MCX,457480,250,1,NATGASMINI,NATGASMINI24JUL25C430,24-JUL-2025,OPTFUT,CE,430,0.05,
MCX,457481,250,1,NATGASMINI,NATGASMINI24JUL25P425,24-JUL-2025,OPTFUT,PE,425,0.05,
MCX,457482,250,1,NATGASMINI,NATGASMINI24JUL25P430,24-JUL-2025,OPTFUT,PE,430,0.05,
MCX,457320,10,1,CRUDEOILM,CRUDEOILM15MAY25C3650,15-MAY-2025,OPTFUT,CE,3650,0.05,
MCX,457321,10,1,CRUDEOILM,CRUDEOILM15MAY25C3600,15-MAY-2025,OPTFUT,CE,3600,0.05,
MCX,457322,10,1,CRUDEOILM,CRUDEOILM16JUN25C3650,16-JUN-2025,OPTFUT,CE,3650,0.05,
MCX,457323,10,1,CRUDEOILM,CRUDEOILM16JUN25C3600,16-JUN-2025,OPTFUT,CE,3600,0.05,
MCX,457324,10,1,CRUDEOILM,CRUDEOILM17JUL25C3650,17-JUL-2025,OPTFUT,CE,3650,0.05,
MCX,457325,10,1,CRUDEOILM,CRUDEOILM17JUL25C3600,17-JUL-2025,OPTFUT,CE,3600,0.05,
MCX,457326,10,1,CRUDEOILM,CRUDEOILM15MAY25P3650,15-MAY-2025,OPTFUT,PE,3650,0.05,
MCX,457327,10,1,CRUDEOILM,CRUDEOILM15MAY25P3600,15-MAY-2025,OPTFUT,PE,3600,0.05,
MCX,457328,10,1,CRUDEOILM,CRUDEOILM16JUN25P3650,16-JUN-2025,OPTFUT,PE,3650,0.05,
MCX,457329,10,1,CRUDEOILM,CRUDEOILM16JUN25P3600,16-JUN-2025,OPTFUT,PE,3600,0.05,
MCX,457330,10,1,CRUDEOILM,CRUDEOILM17JUL25P3650,17-JUL-2025,OPTFUT,PE,3650,0.05,
MCX,457331,10,1,CRUDEOILM,CRUDEOILM17JUL25P3600,17-JUL-2025,OPTFUT,PE,3600,0.05,
MCX,457469,1250,1,NATURALGAS,NATURALGAS24JUL25C420,24-JUL-2025,OPTFUT,CE,420,0.05,
MCX,457470,1250,1,NATURALGAS,NATURALGAS24JUL25P420,24-JUL-2025,OPTFUT,PE,420,0.05,
MCX,457475,1250,1,NATURALGAS,NATURALGAS24JUL25C425,24-JUL-2025,OPTFUT,CE,425,0.05,
MCX,457476,1250,1,NATURALGAS,NATURALGAS24JUL25C430,24-JUL-2025,OPTFUT,CE,430,0.05,
MCX,457477,1250,1,NATURALGAS,NATURALGAS24JUL25P425,24-JUL-2025,OPTFUT,PE,425,0.05,
MCX,457478,1250,1,NATURALGAS,NATURALGAS24JUL25P430,24-JUL-2025,OPTFUT,PE,430,0.05,
MCX,457465,5,1000,ZINC,ZINC22AUG25C230,22-AUG-2025,OPTFUT,CE,230,0.01,
MCX,457466,5,1000,ZINC,ZINC22AUG25P230,22-AUG-2025,OPTFUT,PE,230,0.01,
MCX,457471,5,1000,ZINC,ZINC22AUG25C270,22-AUG-2025,OPTFUT,CE,270,0.01,
MCX,457472,5,1000,ZINC,ZINC22AUG25P270,22-AUG-2025,OPTFUT,PE,270,0.01,
MCX,457332,2500,1,COPPER,COPPER22AUG25C895,22-AUG-2025,OPTFUT,CE,895,0.01,
MCX,457333,2500,1,COPPER,COPPER22AUG25P895,22-AUG-2025,OPTFUT,PE,895,0.01,
MCX,457467,2500,1,COPPER,COPPER22AUG25C900,22-AUG-2025,OPTFUT,CE,900,0.01,
MCX,457468,2500,1,COPPER,COPPER22AUG25P900,22-AUG-2025,OPTFUT,PE,900,0.01,
MCX,457157,100,0.1,GOLDM,GOLDM25JUL25C91100,25-JUL-2025,OPTFUT,CE,91100,0.5,
MCX,457158,100,0.1,GOLDM,GOLDM25JUL25C91000,25-JUL-2025,OPTFUT,CE,91000,0.5,
MCX,457159,100,0.1,GOLDM,GOLDM25JUL25C90900,25-JUL-2025,OPTFUT,CE,90900,0.5,
MCX,457160,100,0.1,GOLDM,GOLDM25JUL25C90800,25-JUL-2025,OPTFUT,CE,90800,0.5,
MCX,457161,100,0.1,GOLDM,GOLDM25JUL25C90700,25-JUL-2025,OPTFUT,CE,90700,0.5,
MCX,457162,100,0.1,GOLDM,GOLDM25JUL25C90600,25-JUL-2025,OPTFUT,CE,90600,0.5,
MCX,457163,100,0.1,GOLDM,GOLDM25JUL25C90500,25-JUL-2025,OPTFUT,CE,90500,0.5,
MCX,457164,100,0.1,GOLDM,GOLDM25JUL25C90400,25-JUL-2025,OPTFUT,CE,90400,0.5,
MCX,457165,100,0.1,GOLDM,GOLDM25JUL25C90300,25-JUL-2025,OPTFUT,CE,90300,0.5,
MCX,457166,100,0.1,GOLDM,GOLDM25JUL25C90200,25-JUL-2025,OPTFUT,CE,90200,0.5,
MCX,457167,100,0.1,GOLDM,GOLDM25JUL25C90100,25-JUL-2025,OPTFUT,CE,90100,0.5,
MCX,457168,100,0.1,GOLDM,GOLDM25JUL25C90000,25-JUL-2025,OPTFUT,CE,90000,0.5,
MCX,457169,100,0.1,GOLDM,GOLDM25JUL25C89900,25-JUL-2025,OPTFUT,CE,89900,0.5,
MCX,457170,100,0.1,GOLDM,GOLDM25JUL25C95000,25-JUL-2025,OPTFUT,CE,95000,0.5,
MCX,457171,100,0.1,GOLDM,GOLDM25JUL25C95100,25-JUL-2025,OPTFUT,CE,95100,0.5,
MCX,457172,100,0.1,GOLDM,GOLDM25JUL25C95200,25-JUL-2025,OPTFUT,CE,95200,0.5,
MCX,457173,100,0.1,GOLDM,GOLDM25JUL25C95300,25-JUL-2025,OPTFUT,CE,95300,0.5,
MCX,457174,100,0.1,GOLDM,GOLDM25JUL25C95400,25-JUL-2025,OPTFUT,CE,95400,0.5,
MCX,457175,100,0.1,GOLDM,GOLDM25JUL25C95500,25-JUL-2025,OPTFUT,CE,95500,0.5,
MCX,457176,100,0.1,GOLDM,GOLDM25JUL25C95600,25-JUL-2025,OPTFUT,CE,95600,0.5,
MCX,457177,100,0.1,GOLDM,GOLDM25JUL25C95700,25-JUL-2025,OPTFUT,CE,95700,0.5,
MCX,457178,100,0.1,GOLDM,GOLDM25JUL25C95800,25-JUL-2025,OPTFUT,CE,95800,0.5,
MCX,457179,100,0.1,GOLDM,GOLDM25JUL25C95900,25-JUL-2025,OPTFUT,CE,95900,0.5,
MCX,457180,100,0.1,GOLDM,GOLDM25JUL25C96000,25-JUL-2025,OPTFUT,CE,96000,0.5,
MCX,457181,100,0.1,GOLDM,GOLDM25JUL25C96100,25-JUL-2025,OPTFUT,CE,96100,0.5,
